termo_busca,id,nome,modelo,fabricante,categoria,vendedor,seller_id,preco_original,preco_venda,desconto,quantidade,avaliacao,qtd_avaliacoes,disponivel,marketplace,oferta,frete_gratis,imagem,thumbnail,produto_url
galaxy s24,885955,Usado - Samsung Galaxy S24 256GB - Creme - Bom,samsung-galaxy-s24-256gb-seminovo-creme,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy,KaBuM!,0,2676.97,2676.97,0,0,0.0,0,True,False,False,True,https://images.kabum.com.br/produtos/fotos/sync_mirakl/885955/Usado-Samsung-Galaxy-S24-256GB-Creme-Bom_1783965129.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/885955/medium/Usado-Samsung-Galaxy-S24-256GB-Creme-Bom_1783965129.jpg,https://www.kabum.com.br/produto/885955
galaxy s24,520298,"Smartphone Samsung Galaxy S24 Ultra, 5G, 256GB, 12GB RAM, Câmera 200MP, Tela 6.8"" 120Hz, S Pen, Cinza",smartphone-samsung-galaxy-s24-ultra-5g-256gb-12gb-ram-camera-200mp-tela-6-8-120hz-s-pen-cinza,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,MagaLu,1000,5998.89,5399.0,10,0,5.0,2,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520298/Smartphone-Samsung-Galaxy-S24-Ultra-5G-256GB-12GB-RAM-C-mera-200MP-Tela-6-8-120Hz-S-Pen-Cinza_1751571292.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520298/medium/Smartphone-Samsung-Galaxy-S24-Ultra-5G-256GB-12GB-RAM-C-mera-200MP-Tela-6-8-120Hz-S-Pen-Cinza_1751571292.jpg,https://www.kabum.com.br/produto/520298
galaxy s24,520342,"Celular Samsung Galaxy S24 Ultra, 512gb, 12gb De Ram, Tela De 6.8”, Galaxy Ai Titânio Cinza",celular-samsung-galaxy-s24-ultra-512gb-12gb-de-ram-tela-de-6-8-galaxy-ai-titanio-cinza,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,Magalu,1000,7899.0,7109.1,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520342/Celular-Samsung-Galaxy-S24-Ultra-512gb-12gb-De-Ram-Tela-De-6-8-Galaxy-Ai-Tit-nio-Cinza_1777056013.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520342/medium/Celular-Samsung-Galaxy-S24-Ultra-512gb-12gb-De-Ram-Tela-De-6-8-Galaxy-Ai-Tit-nio-Cinza_1777056013.jpg,https://www.kabum.com.br/produto/520342
galaxy s24,1072117,Usado -  Samsung S24 512 Gb Preto - Bom,usado-samsung-s24-512-gb-preto-bom,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,CELLULAR STORE,12838,2912.9,2912.9,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1072117/Usado-Samsung-S24-512-Gb-Preto-Bom_1788980018.png,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1072117/medium/Usado-Samsung-S24-512-Gb-Preto-Bom_1788980018.png,https://www.kabum.com.br/produto/1072117
galaxy s24,1066465,Celular Samsung Galaxy S24 Ultra 512 Gb 12gb Ram Recondicionado,celular-samsung-galaxy-s24-ultra-512-gb-12gb-ram-recondicionado,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,MERCADOONLINESP,3820,4989.99,4840.29,3,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1066465/Celular-Samsung-Galaxy-S24-Ultra-512-Gb-12gb-Ram-Recondicionado_1787526813.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1066465/medium/Celular-Samsung-Galaxy-S24-Ultra-512-Gb-12gb-Ram-Recondicionado_1787526813.jpg,https://www.kabum.com.br/produto/1066465
galaxy s24,1072122,Usado -  Samsung S24 Ultra 512 Gb Cinza - Bom,usado-samsung-s24-ultra-512-gb-cinza-bom,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,CELLULAR STORE,12838,3880.65,3880.65,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1072122/Usado-Samsung-S24-Ultra-512-Gb-Cinza-Bom_1788980019.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1072122/medium/Usado-Samsung-S24-Ultra-512-Gb-Cinza-Bom_1788980019.jpg,https://www.kabum.com.br/produto/1072122
galaxy s24,1015981,Usado - Samsung Galaxy S24 Ultra 256gb - Titanio Preto - Excelente,usado-samsung-galaxy-s24-ultra-256gb-titanio-preto-excelente,Samsung,Celular & Smartphone/Smartphones/iPhone/IPhone 15,OUTLET DO CELULAR,12470,4167.38,4167.38,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1015981/Usado-Samsung-Galaxy-S24-Ultra-256gb-Titanio-Preto-Excelente_1786132125.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1015981/medium/Usado-Samsung-Galaxy-S24-Ultra-256gb-Titanio-Preto-Excelente_1786132125.jpg,https://www.kabum.com.br/produto/1015981
galaxy s24,1015975,Usado - Samsung Galaxy S24 Ultra 256gb - Titanio Cinza - Bom,usado-samsung-galaxy-s24-ultra-256gb-titanio-cinza-bom,Samsung,Celular & Smartphone/Smartphones/iPhone/IPhone 15,OUTLET DO CELULAR,12470,3912.97,3912.97,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1015975/Usado-Samsung-Galaxy-S24-Ultra-256gb-Titanio-Cinza-Bom_1786131824.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1015975/medium/Usado-Samsung-Galaxy-S24-Ultra-256gb-Titanio-Cinza-Bom_1786131824.jpg,https://www.kabum.com.br/produto/1015975
galaxy s24,946406,Usado - Samsung Galaxy S24 Ultra 512gb - Titanio Cinza - Bom,samsung-galaxy-s24-ultra-512gb-usado-titanio-cinza,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,OUTLET DO CELULAR,2862875,4427.97,4427.97,0,0,0.0,0,True,True,False,True,https://images.kabum.com.br/produtos/fotos/sync_mirakl/946406/Usado-Samsung-Galaxy-S24-Ultra-512gb-Titanio-Cinza-Bom_1783965247.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/946406/medium/Usado-Samsung-Galaxy-S24-Ultra-512gb-Titanio-Cinza-Bom_1783965247.jpg,https://www.kabum.com.br/produto/946406
galaxy s24,1027882,Usado -  Samsung S24 Ultra 256 Gb Preto - Excelente,usado-samsung-s24-ultra-256-gb-preto-excelente,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,CELLULAR STORE,12838,3923.66,3923.66,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1027882/Usado-Samsung-S24-Ultra-256-Gb-Preto-Excelente_1783965175.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/1027882/medium/Usado-Samsung-S24-Ultra-256-Gb-Preto-Excelente_1783965175.jpg,https://www.kabum.com.br/produto/1027882
galaxy s24,903894,Usado: Samsung S24 Fe 256 Gb Branco - Excelente,usado-samsung-s24-fe-256-gb-branco-excelente,Samsung,Celular & Smartphone/Smartphones/Samsung Galaxy/Galaxy S,CELLULAR STORE,12838,3294.32,2964.89,10,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/903894/Usado-Samsung-S24-Fe-256-Gb-Branco-Excelente_1770927271.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/903894/medium/Usado-Samsung-S24-Fe-256-Gb-Branco-Excelente_1770927271.jpg,https://www.kabum.com.br/produto/903894
galaxy s24,520464,"Capa Protetora Galaxy S24 Ultra, Transparente",capa-protetora-galaxy-s24-ultra-transparente,Samsung,Celular & Smartphone/Acessórios para Smartphones/Capas e Películas/Capas para Celular,MASTERCELL,3519,129.0,122.55,5,0,3.0,3,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520464/Capa-Protetora-Galaxy-S24-Ultra-Transparente_1763412525.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520464/medium/Capa-Protetora-Galaxy-S24-Ultra-Transparente_1763412525.jpg,https://www.kabum.com.br/produto/520464
galaxy s24,520643,"Capa Protetora Galaxy S24+, Transparente",capa-protetora-galaxy-s24-transparente,Samsung,Celular & Smartphone/Acessórios para Smartphones/Capas e Películas/Capas para Celular,ESQUIRE TECH STORE,6366,109.9,109.9,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520643/Capa-Protetora-Galaxy-S24-Transparente_1759746815.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520643/medium/Capa-Protetora-Galaxy-S24-Transparente_1759746815.jpg,https://www.kabum.com.br/produto/520643
galaxy s24,724790,"Monitor Gamer Samsung 24"" Essential S3, Full HD, 100Hz, 5ms, HDMI, VGA, Preto - Ls24d300galmzd",monitor-gamer-samsung-24-fhd-100-hz-hdmi-vga-preto-s3,Samsung,Computadores/Monitores/Monitor Gamer,TNTINFO,6773,557.78,502.0,10,1393,4.900000095367432,30,True,True,True,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/724790/Monitor-Gamer-Samsung-24-Essential-S3-Full-HD-100Hz-5ms-HDMI-VGA-Preto-Ls24d300galmzd_1786763026.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/724790/medium/Monitor-Gamer-Samsung-24-Essential-S3-Full-HD-100Hz-5ms-HDMI-VGA-Preto-Ls24d300galmzd_1786763026.jpg,https://www.kabum.com.br/produto/724790
galaxy s24,520478,"Capa Protetora Galaxy S24 Ultra, Flipsuit, Amarela",capa-protetora-galaxy-s24-ultra-flipsuit-amarela,Samsung,Celular & Smartphone/Acessórios para Smartphones/Capas e Películas/Capas para Celular,MASTERCELL,3519,249.0,249.0,0,0,0.0,0,True,True,False,False,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520478/Capa-Protetora-Galaxy-S24-Ultra-Flipsuit-Amarela_1790072024.jpg,https://images.kabum.com.br/produtos/fotos/sync_mirakl/520478/medium/Capa-Protetora-Galaxy-S24-Ultra-Flipsuit-Amarela_1790072024.jpg,https://www.kabum.com.br/produto/520478
