termo_busca,id,sku,nome,produto_grupo,product_group_id,fabricante,gtin,preco,preco_lista,preco_minimo,estoque,vendedor,imagem,slug,voltagem,cor
galaxy s25,147638,147638,"Smartphone Samsung Galaxy S25 Ultra Titânio Cinza 256GB, Tela 6.9"", 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras","Smartphone Samsung Galaxy S25 Ultra Titânio Cinza 256GB, Tela 6.9"", 12GB RAM, AI Inteligência Artificial, IP68, S-Pen, Snapdragon 8 Elite e 4 Câmeras",138934,SAMSUNG,7892509139670,8575.63,9221.11,8575.63,https://schema.org/InStock,cnl222,https://fastshopbr.vtexassets.com/arquivos/ids/4421243/17709793199410.jpg?v=639098617034930000,smartphone-samsung-galaxy-s25-ultra-titanio-cinza-256gb-tela-6-9--12gb-ram-ai-inteligencia-artificial-ip68-s-pen-snapdragon-8-elite-e-4-cameras-138934-147638,Bivolt,
galaxy s25,100840,100840,"Celular Samsung Galaxy S25+ 5G Prata, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP","Celular Samsung Galaxy S25+ 5G Prata, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP",95816,SAMSUNG,7892509139731,6062.77,8499.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5410298/0_1103ad05-f9b8-4ff0-99b4-ab9a487d912f.jpeg.jpg?v=639219797136330000,celular-samsung-galaxy-s25--5g-prata--256gb--12gb-ram-e-camera-tripla-de-50mp---12mp---10mp-sgsms93625pta_prd-100840,Bivolt,
galaxy s25,101088,101088,"Celular Samsung Galaxy S25 Ultra 5G Titânio Cinza, 256GB, 12GB RAM e Câmera Quádrupla 200MP + 50MP + 10MP + 50MP","Celular Samsung Galaxy S25 Ultra 5G Titânio Cinza, 256GB, 12GB RAM e Câmera Quádrupla 200MP + 50MP + 10MP + 50MP",96046,SAMSUNG,7892509139670,5318.09,11999.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5164595/0_12d2c0a3-d646-4fa9-b9a7-7ee14c717ed8.jpeg.jpg?v=639184211106230000,celular-samsung-galaxy-s25-ultra-5g-titanio-cinza--256gb--12gb-ram-e-camera-quadrupla-200mp---50mp---10mp---50mp-sgsms93825ttz_prd-101088,Bivolt,
galaxy s25,101197,101197,"Celular Samsung Galaxy S25 5G Azul Marinho, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP","Celular Samsung Galaxy S25 5G Azul Marinho, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP",95992,SAMSUNG,7892509139861,5318.09,7499.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5410310/0_0a690ef6-a957-4e29-8ecf-1d1c845d3b9b.jpeg.jpg?v=639219797762230000,celular-samsung-galaxy-s25-5g-azul-marinho--256gb--12gb-ram-e-camera-tripla-de-50mp---12mp---10mp-sgsms9312mazl_prd-101197,Bivolt,
galaxy s25,101060,101060,"Celular Samsung Galaxy S25 Ultra 5G Titânio Azul, 256GB, 12GB RAM e Câmera Quádrupla de 200MP + 50MP + 10MP + 50MP","Celular Samsung Galaxy S25 Ultra 5G Titânio Azul, 256GB, 12GB RAM e Câmera Quádrupla de 200MP + 50MP + 10MP + 50MP",95990,SAMSUNG,7892509139625,5318.09,11999.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5164605/0_efda5164-4816-41cf-8efc-8ab1ee3b77e7.jpeg.jpg?v=639184211703900000,celular-samsung-galaxy-s25-ultra-5g-titanio-azul--256gb--12gb-ram-e-camera-quadrupla-de-200mp---50mp---10mp---50mp-sgsms93825ttn_prd-101060,Bivolt,
galaxy s25,108548,108548,"Celular Samsung Galaxy S25 Ultra 5G Titânio Prata, 256GB, 12GB RAM e Câmera Quádrupla de 200MP + 50MP + 10MP + 50MP","Celular Samsung Galaxy S25 Ultra 5G Titânio Prata, 256GB, 12GB RAM e Câmera Quádrupla de 200MP + 50MP + 10MP + 50MP",103525,SAMSUNG,7892509142557,6569.15,11999.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5164610/0_39c139e8-edf3-410f-80cc-23f61b43ad8a.jpeg.jpg?v=639184211957730000,celular-samsung-galaxy-s25-ultra-5g-titanio-prata--256gb--12gb-ram-e-camera-quadrupla-de-200mp---50mp---10mp---50mp-sgsms9382pttn_prd-108548,Bivolt,
galaxy s25,101207,101207,"Celular Samsung Galaxy S25+ 5G, Azul, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP","Celular Samsung Galaxy S25+ 5G, Azul, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP",96158,SAMSUNG,7892509139793,4547.87,8499.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5165519/0_b974f3da-c3ac-4b47-9ae3-c26b32e7bfbf.jpeg.jpg?v=639184240653070000,celular-samsung-galaxy-s25--5g--azul--256gb--12gb-ram-e-camera-tripla-de-50mp---12mp---10mp-sgsms9362aazl_prd-101207,Bivolt,
galaxy s25,101096,101096,"Celular Samsung Galaxy S25 Ultra Titânio e Preto, 256GB , 12GB RAM e Câmera Quádrupla de 200MP + 50MP + 10MP + 50MP","Celular Samsung Galaxy S25 Ultra Titânio e Preto, 256GB , 12GB RAM e Câmera Quádrupla de 200MP + 50MP + 10MP + 50MP",96053,SAMSUNG,7892509139700,6569.15,11999.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5168129/0_ab61d881-ef12-4790-8a8d-2cd5c00b6a8b.jpeg.jpg?v=639184316070300000,celular-samsung-galaxy-s25-ultra-titanio-e-preto--256gb---12gb-ram-e-camera-quadrupla-de-200mp---50mp---10mp---50mp-sgsms938bzttp_prd-101096,Bivolt,
galaxy s25,106727,106727,"Celular Samsung Galaxy S25 Edge 5G Titânio Jetblack, 512GB, 12GB RAM e Câmera Dupla de 200MP + 12MP","Celular Samsung Galaxy S25 Edge 5G Titânio Jetblack, 512GB, 12GB RAM e Câmera Dupla de 200MP + 12MP",101500,SAMSUNG,7892509143981,3499.0,9799.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5410329/0_f1192f26-d791-44aa-bea1-f33b6f12df4c.jpeg.jpg?v=639219798606870000,celular-samsung-galaxy-s25-edge-5g-titanio-jetblack--512gb--12gb-ram-e-camera-dupla-de-200mp---12mp-sgsms937bzttp_prd-106727,Bivolt,
galaxy s25,101024,101024,"Celular Samsung Galaxy S25 5G, Azul, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP","Celular Samsung Galaxy S25 5G, Azul, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP",96052,SAMSUNG,7892509139892,5318.09,7499.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5410304/0_18f50d25-8670-486d-9093-ee9afe5ef224.jpeg.jpg?v=639219797458500000,celular-samsung-galaxy-s25-5g--azul--256gb--12gb-ram-e-camera-tripla-de-50mp---12mp---10mp-sgsms9312aazl_prd-101024,Bivolt,
galaxy s25,100717,100717,"Celular Samsung Galaxy S25 5G Verde, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP +10MP","Celular Samsung Galaxy S25 5G Verde, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP +10MP",95700,SAMSUNG,7892509139878,4094.68,7499.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5164615/0_67977462-01e4-4087-bf0e-e7372eb2824c.jpeg.jpg?v=639184212227870000,celular-samsung-galaxy-s25-5g-verde--256gb--12gb-ram-e-camera-tripla-de-50mp---12mp--10mp-sgsms93125vrd_prd-100717,Bivolt,
galaxy s25,101023,101023,"Celular Samsung Galaxy S25+ 5G Azul Marinho, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP","Celular Samsung Galaxy S25+ 5G Azul Marinho, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP",95991,SAMSUNG,7892509139809,3615.96,8499.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5164682/0_f8fe5bd0-5a3d-4111-953a-fb93f81a6dec.jpeg.jpg?v=639184215171000000,celular-samsung-galaxy-s25--5g-azul-marinho--256gb--12gb-ram-e-camera-tripla-de-50mp---12mp---10mp-sgsms9362mazl_prd-101023,Bivolt,
galaxy s25,100839,100839,"Celular Samsung Galaxy S25 5G, Prata, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP","Celular Samsung Galaxy S25 5G, Prata, 256GB, 12GB RAM e Câmera Tripla de 50MP + 12MP + 10MP",95814,SAMSUNG,7892509139830,4094.68,7499.0,0.0,https://schema.org/OutOfStock,1,https://fastshopbr.vtexassets.com/arquivos/ids/5164626/0_1ee1964b-bea7-4601-ae3e-05e0887028a8.jpeg.jpg?v=639184213043570000,celular-samsung-galaxy-s25-5g--prata--256gb--12gb-ram-e-camera-tripla-de-50mp---12mp---10mp-sgsms93125pta_prd-100839,Bivolt,
